Name,ParentAreaEffectForSkin,FileName,OwnExportName,BlueExportName,RedExportName,NeutralExportName,Layer,ExportNameTop,ExportNameTopRed,ExportNameObject,Effect,LoopingEffect,AllowEffectInterrupt,ServerControlsFrame,Scale,TimeMs,Radius,Damage,CustomValue,Type,IsPersonal,BulletExplosionBullet,BulletExplosionBulletDistance,BulletExplosionItem,DestroysEnvironment,PushbackStrength,PushbackStrengthSelf,PushbackDeadzone,CanStopGrapple,FreezeStrength,FreezeTicks,ShouldShowEvenIfOutsideScreen,SameAreaEffectCanNotDamageMs,DontShowToEnemy,RequireLineOfSight,ChainAreaEffect,SkinnedCustomValue
string,string,string,string,string,string,string,string,string,string,string,string,string,boolean,boolean,int,int,int,int,int,string,boolean,string,int,string,boolean,int,int,int,boolean,int,int,boolean,int,boolean,boolean,string,int
Brock_def_atk_area,,sc/effects.sc,,,,,GroundHigh,,,,brock_def_explosion_blue,,,,70,700,300,,,Damage,,,,,,,,,,,,,,,,,
Brock_def_ulti_area,,sc/effects.sc,,,,,GroundHigh,,,,brock_def_ultiExp_blue,,,,100,700,450,,,Damage,,,,,true,,,,,,,,,,,,
Brock_002_atk_area,Brock_def_atk_area,sc/effects.sc,,,,,GroundHigh,,,,brock_002_explosion_blue,,,,70,,,,,,,,,,,,,,,,,,,,,,
Brock_002_ulti_area,Brock_def_ulti_area,sc/effects.sc,,,,,GroundHigh,,,,brock_def_ultiExp_blue,,,,100,,,,,,,,,,,,,,,,,,,,,,
Brock_004_atk_area,Brock_def_atk_area,sc/effects.sc,,,,,GroundHigh,,,,brock_004_explosion_blue,,,,70,,,,,,,,,,,,,,,,,,,,,,
Brock_004_ulti_area,Brock_def_ulti_area,sc/effects.sc,,,,,GroundHigh,,,,brock_004_ultiExp_blue,,,,100,,,,,,,,,,,,,,,,,,,,,,
RocketGirlExplosion,,sc/effects.sc,range400_blue,range400_blue,range400_red,,GroundHigh,,,,explosion_rocket_rose,,,,70,700,300,,,Damage,,,,,,,,,,,,,,,,,
RocketGirlUltiExplosion,,sc/effects.sc,range450_blue,range450_blue,range450_red,,GroundHigh,,,,explosion_rocket_rose_ulti,,,,100,700,450,,,Damage,,,,,true,,,,,,,,,,,,
CactusExplosion,,sc/effects.sc,,,,,GroundHigh,,,,spike_def_atk1_explosion,,,,70,700,300,,,Damage,,,,,,,,,,,,,,,,,
CactusSpikeExplosion,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,700,300,,6,BulletExplosion,,CactusSpike,13,,,,,,,,,,,,,,
CactusUltiExplosion,,sc/effects.sc,,,,,GroundHigh,,,,spike_def_ulti_explosion,,,,2000,4500,500,800,,Dot,,,,,,,,,,,,,,,,,
Spike_002_atk1_explosion,CactusExplosion,sc/effects.sc,,,,,GroundHigh,,,,spike_002_atk1_explosion,,,,70,,,,,,,,,,,,,,,,,,,,,,
Spike_002_atk2,CactusSpikeExplosion,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,,,,,,,Spike002Spike,,,,,,,,,,,,,,,
Spike_002_ulti_explosion,CactusUltiExplosion,sc/effects.sc,,,,,GroundHigh,,,,spike_002_ulti_explosion,,,,170,,,,,,,,,,,,,,,,,,,,,,
Spike_003_atk1_explosion,CactusExplosion,sc/effects.sc,,,,,GroundHigh,,,,spike_003_atk1_explosion,,,,70,,,,,,,,,,,,,,,,,,,,,,
Spike_003_atk2,CactusSpikeExplosion,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,,,,,,,Spike003Frag,,,,,,,,,,,,,,,
Spike_003_ulti_explosion,CactusUltiExplosion,sc/effects.sc,,,,,GroundHigh,,,,spike_003_ulti_explosion,,,,170,,,,,,,,,,,,,,,,,,,,,,
Spike_004_atk1_explosion,CactusExplosion,sc/effects.sc,,,,,GroundHigh,,,,spike_004_atk1_explosion,,,,70,,,,,,,,,,,,,,,,,,,,,,
Spike_004_atk2,CactusSpikeExplosion,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,,,,,,,Spike004Frag,,,,,,,,,,,,,,,
Spike_004_ulti_explosion,CactusUltiExplosion,sc/effects.sc,,,,,GroundHigh,,,,spike_004_ulti_explosion,,,,170,,,,,,,,,,,,,,,,,,,,,,
Barley_def_atk,,sc/effects.sc,,,,,GroundHigh,,,,barley_def_atk,,,,55,1900,600,,,Dot,,,,,,,,,,,,,,,,,
Barley_def_ulti,,sc/effects.sc,,,,,GroundHigh,,,,barley_def_ulti,,,,55,3900,600,,,Dot,,,,,,,,,,,,,1000,,,,
Barley_002_atk,Barley_def_atk,sc/effects_brawler.sc,fireball_ground,fireball_ground,fireball_ground_red,,GroundHigh,,,,barley_002_atk,,,,55,,,,,,,,,,,,,,,,,,,,,,
Barley_002_ulti,Barley_def_ulti,sc/effects_brawler.sc,fireball_ground,fireball_ground,fireball_ground_red,,GroundHigh,,,,barley_002_ulti,,,,55,,,,,,,,,,,,,,,,,,,,,,
Barley_004_atk,Barley_def_atk,sc/effects.sc,,,,,GroundHigh,,,,barley_004_atk,,,,55,,,,,,,,,,,,,,,,,,,,,,
Barley_004_ulti,Barley_def_ulti,sc/effects.sc,,,,,GroundHigh,,,,barley_004_ulti,,,,55,,,,,,,,,,,,,,,,,,,,,,
Barley_005_atk,Barley_def_atk,sc/effects.sc,,,,,GroundHigh,,,,barley_005_atk,,,,55,,,,,,,,,,,,,,,,,,,,,,
Barley_005_ulti,Barley_def_ulti,sc/effects.sc,,,,,GroundHigh,,,,barley_005_ulti,,,,55,,,,,,,,,,,,,,,,,,,,,,
Bo_def_ulti1_area,,sc/effects.sc,,,,,GroundHigh,,,,bo_def_ulti1_explosion,,,,70,700,300,,,Effect,,,,,,,,,,,,,,,,,
Bo_def_ulti2_area,,sc/effects.sc,,,,,GroundHigh,,,,bo_def_ulti2_explosion,,,,133,700,600,99,,Damage,,,,,true,70,,,,,,,,,,,
Bo_003_atk_area,Brock_def_atk_area,sc/effects.sc,,,,,GroundHigh,,,,bo_003_atk_explosion,,,,70,700,300,,,Damage,,,,,,,,,,,,,,,,,
Bo_003_ulti1_area,Bo_def_ulti1_area,sc/effects.sc,,,,,GroundHigh,,,,bo_003_ulti1_explosion,,,,70,700,300,,,Effect,,,,,,,,,,,,,,,,,
Bo_004_atk_area,Brock_def_atk_area,sc/effects.sc,,,,,GroundHigh,,,,bo_004_atkHit_blue,,,,70,700,300,,,Damage,,,,,,,,,,,,,,,,,
Bo_004_ulti1_area,Bo_def_ulti1_area,sc/effects.sc,,,,,GroundHigh,,,,bo_004_ulti1_explosion,,,,70,700,300,,,Effect,,,,,,,,,,,,,,,,,
Piper_003_ulti,Bo_def_ulti2_area,sc/effects.sc,,,,,GroundHigh,,,,piper_003_ulti2_explosion,,,,133,700,600,99,,Damage,,,,,true,70,,,,,,,,,,,
BarkeepExplosion,,sc/effects.sc,toxic_area_effect_blue,toxic_area_effect_blue,toxic_area_effect_red,,GroundHigh,,,,explosion_barkeep,,,,55,1900,600,,,Dot,,,,,,,,,,,,,,,,,
BarkeepWizardExplosion,BarkeepExplosion,sc/effects.sc,fireball_ground,fireball_ground,fireball_ground_red,,GroundHigh,,,,explosion_barkeep_wizard,,,,55,,,,,,,,,,,,,,,,,,,,,,
BarkeepUltiExplosion,,sc/effects.sc,toxic_area_effect_ulti_blue,toxic_area_effect_ulti_blue,toxic_area_effect_red,,GroundHigh,,,,explosion_barkeep_ulti,,,,55,3900,600,,,Dot,,,,,,,,,,,,,1000,,,,
BarkeepWizardUltiExplosion,BarkeepUltiExplosion,sc/effects.sc,fireball_ground,fireball_ground,fireball_ground_red,,GroundHigh,,,,explosion_ulti_barkeep_wizard,,,,55,,,,,,,,,,,,,,,,,,,,,,
ExplodingBarrelExplosion,,sc/effects.sc,gen_explosion_ring1_area,gen_explosion_ring1_area,gen_explosion_ring1_area,,GroundHigh,,,,explosion_600,,,,100,700,600,2000,,Damage,,,,,true,120,,,,,,,,,,,
PoisonBarrelExplosion,,sc/effects.sc,toxic_area_effect_blue,toxic_area_effect_blue,toxic_area_effect_red,,GroundHigh,,,,explosion_800,,,,100,10500,800,400,,Dot,,,,,,,,,,,,,,,,,
TntDudeExplosion,,sc/effects_brawler.sc,,,,,GroundHigh,,,,explosion_tnt_dude,,,,100,700,450,,,Damage,,,,,,,150,,,,,,,,,,
TntDudeUltiExplosion,,sc/effects_brawler.sc,,,,,GroundHigh,,,,explosion_tnt_dude_ulti,,,,165,700,800,,,Damage,,,,,true,150,250,,,,,,,,,,
