Name,IconSWF,IconExportName,LocalizedName,SortOrder,Enabled,EnabledCN,FileName,TestLanguage,UsedSystemFont,PreferedFallbackFont,ForcedFontFullName,HelpshiftSDKLanguage,HelpshiftSDKLanguageAndroid,TestExcludes,LoadAllLanguages,ChampionshipRegisterUrl,ChampionshipRegisterUrl_cn,TermsAndServiceUrl,ParentsGuideUrl,PrivacyPolicyUrl,LaserboxUrl,LaserboxUrlCN,LaserboxStagingUrl,LaserboxStagingUrlCN,LaserboxCommunityUrl,LaserboxCommunityUrlCN,LaserboxCommunityStagingUrl,LaserboxCommunityStagingUrlCN,LaserboxLangCode,FaqUrl_ios,FaqUrl_ios_cn,FaqUrl_android,FaqUrl_android_cn,ContactUsUrl_ios,ContactUsUrl_ios_cn,ContactUsUrl_android,ContactUsUrl_android_cn,LaserboxEnabled,IsRTL,isNounAdj,SeparateThousandsWithSpaces,SelfHelpUrl,SelfHelpUrlCN,FallbackToHelpshift,FallbackToHelpshiftCN,TermsAndServiceUrl_Tencent_android,ParentsGuideUrl_Tencent_android,PrivacyPolicyUrl_Tencent_android,TermsAndServiceUrl_Tencent_ios,ParentsGuideUrl_Tencent_ios,PrivacyPolicyUrl_Tencent_ios,TermsAndServiceUrl_Yoozoo,ParentsGuideUrl_Yoozoo,PrivacyPolicyUrl_Yoozoo,DeviceMigrationSelfHelpUrl
String,String,String,String,int,Boolean,Boolean,String,Boolean,String,String,String,String,String,String,Boolean,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,Boolean,Boolean,Boolean,Boolean,String,String,Boolean,Boolean,String,String,String,String,String,String,String,String,String,String
EN,sc/ui.sc,flag_gb,English,0,true,true,localization/texts.csv,,,,,en,,,,http://www.supr.cl/bsc,https://www.bsesports.cn/bscrule.html,http://supercell.com/en/terms-of-service/,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,http://www.supercell.com/en/privacy-policy/,https://inbox.brawlstars.com/,https://brawlstars.scinbox.qq.com/,https://staging.inbox.brawlstars.com/,https://testbrawlstars.scinbox.qq.com/,https://inbox.brawlstars.com/community/,,https://staging.inbox.brawlstars.com/community/,,,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,,,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,http://supercell.com/en/terms-of-service/,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,http://game.qq.com/privacy_guide_en.shtml,http://supercell.com/en/terms-of-service/,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,http://game.qq.com/privacy_guide_en.shtml,http://supercell.com/en/terms-of-service/,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://m.youzu.com/about/privacy.html?noheader=100&cid=m_bs_privacy,https://game-assets.tencent-cloud.com/self-help/brawl-stars/en/account/index.html
CN,sc/ui.sc,flag_gb,简体中文,5,true,true,localization/cn.csv,,STHeitiSC-Medium,,,zh-Hans,zh_CN,,,http://www.supr.cl/bsc,https://www.bsesports.cn/bscrule.html,http://supercell.com/en/terms-of-service/cn,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,http://www.supercell.com/en/privacy-policy/cn,https://inbox.brawlstars.com/,https://brawlstars.scinbox.qq.com/,https://staging.inbox.brawlstars.com/,https://testbrawlstars.scinbox.qq.com/,https://inbox.brawlstars.com/community/,,https://staging.inbox.brawlstars.com/community/,,,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,,,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,http://supercell.com/en/terms-of-service/,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,http://game.qq.com/privacy_guide.shtml,http://supercell.com/en/terms-of-service/,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,http://game.qq.com/privacy_guide.shtml,http://supercell.com/en/terms-of-service/,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://m.youzu.com/about/privacy.html?noheader=100&cid=m_bs_privacy,https://game-assets.tencent-cloud.com/self-help/brawl-stars/zh_cn/account/index.html
AR,sc/ui.sc,flag_gb,العربية,18,true,false,localization/ar.csv,,,,,ar,,,,http://www.supr.cl/bsc,https://www.bsesports.cn/bscrule.html,http://supercell.com/en/terms-of-service/ar/,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,http://www.supercell.com/en/privacy-policy/ar/,https://inbox.brawlstars.com/,,https://staging.inbox.brawlstars.com/ar/,,https://inbox.brawlstars.com/ar/community/,,https://staging.inbox.brawlstars.com/ar/community/,,ar,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,TRUE,,,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,TRUE,,,,,,,,,,
FR,sc/ui.sc,flag_gb,Français,1,true,false,localization/fr.csv,,,,,fr,,,,http://www.supr.cl/bsc,https://www.bsesports.cn/bscrule.html,http://supercell.com/en/terms-of-service/fr,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,http://www.supercell.com/en/privacy-policy/fr,https://inbox.brawlstars.com/fr/,,https://staging.inbox.brawlstars.com/fr/,,https://inbox.brawlstars.com/fr/community/,,https://staging.inbox.brawlstars.com/fr/community/,,fr,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,TRUE,TRUE,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,TRUE,,,,,,,,,,
DOUBLE,sc/ui.sc,flag_gb,Double,101,false,false,localization/texts.csv,TRUE,,,,en,,,,http://www.supr.cl/bsc,https://www.bsesports.cn/bscrule.html,http://supercell.com/en/terms-of-service/,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,http://www.supercell.com/en/privacy-policy/,https://inbox.brawlstars.com/,,https://staging.inbox.brawlstars.com/,,https://inbox.brawlstars.com/community/,,https://staging.inbox.brawlstars.com/community/,,,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,,,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,TRUE,,,,,,,,,,
EMPTY,sc/ui.sc,flag_gb,Empty,102,false,false,localization/texts.csv,TRUE,,,,en,,,,http://www.supr.cl/bsc,https://www.bsesports.cn/bscrule.html,http://supercell.com/en/terms-of-service/,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,http://www.supercell.com/en/privacy-policy/,https://inbox.brawlstars.com/,,https://staging.inbox.brawlstars.com/,,https://inbox.brawlstars.com/community/,,https://staging.inbox.brawlstars.com/community/,,,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,,,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,TRUE,,,,,,,,,,
DOUBLEDOUBLE,sc/ui.sc,flag_gb,DoubleDouble,103,false,false,localization/texts.csv,TRUE,,,,en,,,,http://www.supr.cl/bsc,https://www.bsesports.cn/bscrule.html,http://supercell.com/en/terms-of-service/,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,http://www.supercell.com/en/privacy-policy/,https://inbox.brawlstars.com/,,https://staging.inbox.brawlstars.com/,,https://inbox.brawlstars.com/community/,,https://staging.inbox.brawlstars.com/community/,,,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,,,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,TRUE,,,,,,,,,,
TEXT,sc/ui.sc,flag_gb,Longest text,104,false,false,localization/texts.csv,TRUE,,,,en,,CN,TRUE,http://www.supr.cl/bsc,https://www.bsesports.cn/bscrule.html,http://supercell.com/en/terms-of-service/,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,http://www.supercell.com/en/privacy-policy/,https://inbox.brawlstars.com/,,https://staging.inbox.brawlstars.com/,,https://inbox.brawlstars.com/community/,,https://staging.inbox.brawlstars.com/community/,,,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,,,https://www.tiktok.com/@jesuimt?_t=8ZmxNbpgDDi&_r=1,,,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,CNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
