Name,Disabled,TID,BgPrefix,LocationTheme,GroundSCW,CampaignGroundSCW,EnvironmentSCW,IconSWF,IconExportName,GameMode,AllowedMaps,Music,CommunityCredit,
string,boolean,string,string,string,string,string,string,string,string,string,string,string,string,
Wanted1,,TID_WANTED_1,,WaterPark,sc3d/bgr_waterpark_ground.scw,,sc3d/bgr_waterpark.scw,sc/events.sc,event_vp,BountyHunter,Wanted_1,Summer_Brawl_Ingame_Music,,
Wanted3,,TID_WANTED_3,,Arcade,sc3d/bgr_arcade_ground.scw,,sc3d/bgr_arcade.scw,sc/events.sc,event_arcade,BountyHunter,Wanted_3,Brawlcade_Ingame,,
Wanted4,,TID_WANTED_4,,Default,sc3d/bgr_canyon_ground.scw,,sc3d/bgr_canyon.scw,sc/events.sc,event_canyon,BountyHunter,Gemgrab_3,BattleMusic,,
Wanted5,,TID_WANTED_5,,Default,sc3d/bgr_canyon_ground.scw,,sc3d/bgr_canyon.scw,sc/events.sc,event_canyon,BountyHunter,Gemgrab_2,BattleMusic,,
Wanted6,,TID_WANTED_6,,Oasis,sc3d/bgr_jungle_ground.scw,,sc3d/bgr_jungle.scw,sc/events.sc,event_oasis,BountyHunter,Wanted_6,BattleMusic,,
Wanted7,,TID_WANTED_7,,Oasis,sc3d/bgr_jungle_ground.scw,,sc3d/bgr_jungle.scw,sc/events.sc,event_oasis,BountyHunter,Wanted_7,BattleMusic,,
Wanted2,,TID_WANTED_2,,Oasis,sc3d/bgr_jungle_ground.scw,,sc3d/bgr_jungle.scw,sc/events.sc,event_oasis,BountyHunter,Wanted_2,BattleMusic,,
Gemgrab1,,TID_GOLDRUSH_1,,Mine,sc3d/bgr_mine_ground.scw,,sc3d/bgr_mine.scw,sc/events.sc,event_gemmine,CoinRush,Gemgrab_1,BattleMusic,,
Gemgrab2,,TID_GOLDRUSH_2,,Arcade,sc3d/bgr_arcade_ground.scw,,sc3d/bgr_arcade.scw,sc/events.sc,event_arcade,CoinRush,Gemgrab_2,Brawlcade_Ingame,,
Gemgrab3,,TID_WANTED_4,,Mortuary,sc3d/bgr_mortuary_ground.scw,,sc3d/bgr_mortuary.scw,sc/events.sc,event_mortuary,CoinRush,Gemgrab_3,Halloween_ingame,,
