Name,Character,Model,ModelCNOverride,GadgetModel,PortraitCameraFile,IntroCameraFile,MirrorIntro,IdleAnim,WalkAnim,PrimarySkillAnim,SecondarySkillAnim,PrimarySkillRecoilAnim,PrimarySkillRecoilAnim2,SecondarySkillRecoilAnim,SecondarySkillRecoilAnim2,ReloadingAnim,PushbackAnim,HappyAnim,HappyLoopAnim,SadAnim,SadLoopAnim,HeroScreenIdleAnim,HeroScreenAnim,HeroScreenLoopAnim,SignatureAnim,HappyEnterAnim,SadEnterAnim,ProfileAnim,IntroAnim,BossAutoAttackAnim,BossAutoAttackRecoilAnim,BossAutoAttackRecoilAnim2,GadgetActiveAnim,GadgetRecoilAnim,IdleFace,WalkFace,HappyFace,HappyLoopFace,SadFace,SadLoopFace,HeroScreenIdleFace,HeroScreenFace,HeroScreenLoopFace,SignatureFace,ProfileFace,IntroFace,HappyEffect,SadEffect,PetInSameSprite,AttackLocksAttackAngle,UltiLocksAttackAngle,MainAttackProjectile,SecondaryProjectile,UltiProjectile,MainAttackEffect,UltiAttackEffect,UseBlueTextureInMenus,MainAttackUseEffect,UltiUseEffect,UltiEndEffect,MeleeHitEffect,SpawnEffect,UltiLoopEffect,UltiLoopEffect2,StarPower1Effect,StarPower2Effect,AreaEffect,AreaEffectStarPower,AreaEffectStarPower2,AreaEffectAttack,SpawnedItem,KillCelebrationSoundVO,InLeadCelebrationSoundVO,StartSoundVO,UseUltiSoundVO,TakeDamageSoundVO,DeathSoundVO,AttackSoundVO,BoneEffect1,BoneEffect2,BoneEffect3,BoneEffect4,BoneEffectUse,AutoAttackProjectile,ProjectileForShockyStarPower,IncendiaryStarPowerAreaEffect,MoveEffect,StillEffect,ChargedShotEffect,DisableHeadRotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
string,string,string,string,string,string,string,boolean,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,boolean,boolean,boolean,string,string,string,string,string,boolean,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BanditGirlDefault,ShotgunGirl,shelly_geo.scw,,,crow_base_cam.scw,emz_intro_pose.scw,,CrowIdle,CrowWalk,CrowPrimary,CrowSecondary,CrowRecoil,,CrowIdle,,CrowReload,CrowPushback,CrowWin,CrowWinloop,CrowLose,CrowLoseloop,CrowIdle,CrowWin,CrowWinloop,CrowWin,CrowIdle,CrowIdle,CrowProfile,CrowProfile,,,,,,ShellyFace,ShellyFace,ShellyHappy,ShellyFace,ShellySad,ShellySadLoop,ShellyFace,ShellyHappy,ShellyFace,ShellyHappy,ShellyStill,ShellyStill,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BanditGirlBandita,ShotgunGirl,shelly_bandita_geo.scw,,,shelly_base_cam.scw,emz_intro_pose.scw,,ShellyBanditaIdle,ShellyBanditaWalk,ShellyBanditaPrimary,ShellyBanditaSecondary,ShellyBanditaRecoil,,ShellyBanditaRecoil,,ShellyBanditaReload,ShellyBanditaPushback,ShellyBanditaWin,ShellyBanditaWinloop,ShellyBanditaLose,ShellyBanditaLoseloop,ShellyBanditaIdle,ShellyBanditaWin,ShellyBanditaWinloop,ShellyBanditaWin,ShellyBanditaIdle,ShellyBanditaIdle,ShellyProfile,ShellyProfile,,,,,,Shelly002Still,Shelly002Still,Shelly002Win,Shelly002WinLoop,Shelly002Lose,Shelly002LoseLoop,Shelly002WinLoop,Shelly002Win,Shelly002WinLoop,Shelly002Win,Shelly002Still,Shelly002Still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BanditGirlPrereg,ShotgunGirl,shelly_prereg_geo.scw,,,shelly_base_cam.scw,emz_intro_pose.scw,,ShellyPreregIdle,ShellyPreregWalk,ShellyPreregPrimary,ShellyPreregSecondary,ShellyPreregRecoil,,ShellyPreregRecoil,,ShellyPreregReload,ShellyPreregPushback,ShellyPreregWin,ShellyPreregWinloop,ShellyPreregLose,ShellyPreregLoseloop,ShellyPreregIdle,ShellyPreregWin,ShellyPreregWinloop,ShellyPreregWin,ShellyPreregIdle,ShellyPreregIdle,ShellyProfile,ShellyProfile,,,,,,ShellyFace,ShellyFace,ShellyHappy,ShellyFace,ShellySad,ShellySadLoop,ShellyFace,ShellyHappy,ShellyFace,ShellyFace,ShellyStill,ShellyStill,,,,,,Shelly002Projectile,,Shelly002UltiProjectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShotgunGirlWitch,ShotgunGirl,shelly_witch_geo.scw,,,shelly_base_cam.scw,emz_intro_pose.scw,,ShellyWitchIdle,ShellyWitchWalk,ShellyWitchPrimarySkill,ShellyWitchPrimarySkill,ShellyWitchRecoil,,ShellyWitchRecoil,,ShellyWitchReload,ShellyPushback,ShellyWitchHappy,ShellyWitchHappyLoop,ShellyWitchLose,ShellyWitchLoseloop,ShellyWitchIdle,ShellyWitchHappy,ShellyWitchHappyLoop,ShellyWitchHappy,ShellyWitchIdle,ShellyWitchHappy,ShellyWitchProfile,ShellyWitchProfile,,,,,,Shelly003Still,Shelly003Still,Shelly003Win,Shelly003WinLoop,Shelly003Lose,Shelly003LoseLoop,Shelly003WinLoop,Shelly003Win,Shelly003WinLoop,Shelly003Win,Shelly003Still,Shelly003Still,,,,true,true,Shelly003Projectile,,Shelly003UltiProjectile,shelly_003_atk,shelly_003_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShotgunGirlFootball,ShotgunGirl,shelly_fb_geo.scw,,,shelly_base_cam.scw,emz_intro_pose.scw,,ShellyIdle,ShellyWalk,ShellyPrimary,ShellySecondary,ShellyRecoil,,ShellyRecoil,,ShellyReload,ShellyPushback,ShellyWin,ShellyWinloop,ShellyLose,ShellyLoseloop,ShellyIdle,ShellyWin,ShellyWinloop,ShellyWin,ShellyIdle,ShellyIdle,ShellyProfile,ShellyProfile,,,,,,ShellyFace,ShellyFace,ShellyHappy,ShellyFace,ShellySad,ShellySadLoop,ShellyFace,ShellyHappy,ShellyFace,ShellyHappy,ShellyStill,ShellyStill,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShotgunGirlSilver,ShotgunGirl,shelly_geo.scw,,,shelly_base_cam.scw,shelly_intro_pose.scw,,ShellyIdle,ShellyWalk,ShellyPrimary,ShellySecondary,ShellyRecoil,,ShellyRecoil,,ShellyReload,ShellyPushback,ShellyWin,ShellyWinloop,ShellyLose,ShellyLoseloop,ShellyIdle,ShellyWin,ShellyWinloop,ShellyWin,ShellyIdle,ShellyIdle,ShellyProfile,ShellyIntro,,,,,,,,,,,,,,,,,,gen_silver_lobby_aura,gen_silver_lobby_aura,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen_silver_moving,gen_silver_moving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShotgunGirlGold,ShotgunGirl,shelly_geo.scw,,,shelly_base_cam.scw,shelly_intro_pose.scw,,ShellyIdle,ShellyWalk,ShellyPrimary,ShellySecondary,ShellyRecoil,,ShellyRecoil,,ShellyReload,ShellyPushback,ShellyWin,ShellyWinloop,ShellyLose,ShellyLoseloop,ShellyIdle,ShellyWin,ShellyWinloop,ShellyWin,ShellyIdle,ShellyIdle,ShellyProfile,ShellyIntro,,,,,,,,,,,,,,,,,,gen_gold_lobby_aura,gen_gold_lobby_aura,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen_silver_moving,gen_silver_moving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GunSlingerDefault,Gunslinger,colt_geo.scw,,,piper_portrait.scw,emz_intro_pose.scw,,SniperIdle,SniperWalk,SniperAttack,SniperSecondary,SniperRecoil,,SniperRecoil,,SniperReload,SniperPushback,SniperWin,SniperWinloop,SniperLose,SniperLoseloop,SniperIdle,SniperWin,SniperWinloop,SniperWin,SniperIdle,SniperIdle,SniperProfile,SniperProfile,,,,,,ColtFace,ColtFace,ColtHappy,ColtFace,ColtSad,ColtSadLoop,ColtFace,ColtHappy,ColtFace,ColtHappy,ColtStill,ColtStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GunSlingerRockstar,Gunslinger,colt_rockstar_geo.scw,,,colt_base_cam.scw,emz_intro_pose.scw,,GunslingerIdle,GunslingerWalk,GunslingerPrimary,GunslingerSecondary,GunslingerRecoil,GunslingerRecoil2,GunslingerRecoil,GunslingerRecoil2,GunslingerReload,GunslingerPushback,GunslingerWin,GunslingerWinloop,GunslingerLose,GunslingerLoseloop,GunslingerIdle,GunslingerWin,GunslingerWinloop,GunslingerWin,GunslingerIdle,GunslingerIdle,GunslingerProfile,GunslingerProfile,,,,,,ColtFace,ColtFace,ColtHappy,ColtFace,ColtSad,ColtSadLoop,ColtFace,ColtHappy,ColtFace,ColtHappy,ColtStill,ColtStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
